customer_id,name,age,salary,country,city,email,phone,join_date
1, John ,150,-1000.0,U.S.A,Delhi,floresrandall@livingston.org,9876543210,12-05-2024
1, John ,25,5000.0,U.S.A,Delhi,,9876543210,2024/01/01
2,mike,,,United States,Chennai,sarah97@hotmail.com,,31-13-2024
4,mike,30,-1000.0,USA,Chennai,invalid_email,9876543210,31-13-2024
5,  david,45,5000.0,india,,,9876543210,
6,  david,45,,United States,,michael17@mcbride.org,9876543210,12-05-2024
7,SARAH,25,10000.0,USA,,invalid_email,,31-13-2024
8,SARAH,45,10000.0,india,Mumbai,,9876543210,2024/01/01
9,mike,,99999999.0,United States,,michael07@glenn.com,12345,12-05-2024
10, John ,45,99999999.0,United States,Chennai,andersoncarrie@hensley.org,12345,2024/01/01
10,,150,99999999.0,U.S.A,Mumbai,leroygarcia@yahoo.com,(987)-654-3210,31-13-2024
11,  david,,-1000.0,U.S.A,Delhi,,,12-05-2024
13, John ,30,10000.0,india,,,9876543210,
13,  david,,,United States,,scott90@yahoo.com,9876543210,31-13-2024
15, John ,45,99999999.0,U.S.A,,jasonmassey@mendoza.com,12345,2024/01/01
16,SARAH,150,,INDIA,Delhi,simmonsvalerie@lopez.org,12345,2024/01/01
17,  david,45,99999999.0,USA,Chennai,invalid_email,12345,2024/01/01
18,mike,abc,5000.0,USA,,xfischer@johnson.org,(987)-654-3210,2024/01/01
18,  david,30,-1000.0,INDIA,,invalid_email,(987)-654-3210,2024/01/01
20,,150,-1000.0,India,,invalid_email,9876543210,2024/01/01
21, John ,45,5000.0,INDIA,,browndonna@hotmail.com,(987)-654-3210,12-05-2024
22, John ,30,5000.0,USA,Mumbai,david23@yahoo.com,(987)-654-3210,31-13-2024
22,mike,abc,10000.0,india,,,,2024/01/01
23,,30,5000.0,USA,,invalid_email,,
24, John ,150,5000.0,USA,,,12345,12-05-2024
26,mike,30,,India,Delhi,invalid_email,(987)-654-3210,31-13-2024
26,mike,25,99999999.0,INDIA,Chennai,davidmonroe@yahoo.com,9876543210,12-05-2024
28,mike,,99999999.0,India,Delhi,invalid_email,9876543210,2024/01/01
28, John ,,-1000.0,India,Mumbai,invalid_email,,2024/01/01
30,SARAH,30,5000.0,INDIA,,williamlevine@gmail.com,12345,12-05-2024
31,  david,,,INDIA,Delhi,bryantcatherine@yahoo.com,9876543210,2024/01/01
32,  david,25,10000.0,India,Chennai,,(987)-654-3210,12-05-2024
33,,150,,INDIA,,invalid_email,12345,2024/01/01
34,mike,45,99999999.0,U.S.A,Mumbai,invalid_email,12345,12-05-2024
35,,abc,,USA,Chennai,,(987)-654-3210,31-13-2024
36,SARAH,25,10000.0,United States,Mumbai,combsdoris@hotmail.com,,31-13-2024
37,  david,45,5000.0,U.S.A,Mumbai,hallnancy@yahoo.com,9876543210,2024/01/01
38,SARAH,abc,10000.0,india,Mumbai,montoyabridget@gmail.com,12345,
39, John ,25,99999999.0,United States,Chennai,trujillochelsea@miller-fuller.net,12345,2024/01/01
40,mike,150,99999999.0,INDIA,,,9876543210,12-05-2024
41,mike,abc,5000.0,United States,,,(987)-654-3210,
